Seed,Technique,Rate,Model,TPR (%),Detected / Total,Evasions Succeeded,Total Time (s)
20,Call Reordering,0.1,GAT,99.56%,12782/12839,57,47.2205
20,Call Reordering,0.1,HYBRID-DGCNN,99.84%,12818/12839,21,24.4805
20,Call Reordering,0.1,HYBRID-GAT,99.67%,12796/12839,43,73.9052
20,Call Reordering,0.1,LSTM,99.76%,12808/12839,31,44.2176
20,Call Reordering,0.1,SGAN,99.94%,12831/12839,8,12.5352
20,Call Reordering,0.15,CNN,99.91%,12828/12839,11,10.9212
20,Call Reordering,0.15,DGCNN,99.80%,12813/12839,26,23.64
20,Call Reordering,0.15,GAT,99.53%,12779/12839,60,44.7536
20,Call Reordering,0.15,HYBRID-DGCNN,99.83%,12817/12839,22,22.9602
20,Call Reordering,0.15,HYBRID-GAT,99.62%,12790/12839,49,71.0935
20,Call Reordering,0.15,LSTM,99.76%,12808/12839,31,42.7437
20,Call Reordering,0.15,SGAN,99.92%,12829/12839,10,11.7021
20,Call Reordering,0.2,CNN,99.91%,12827/12839,12,11.0861
20,Call Reordering,0.2,DGCNN,99.74%,12806/12839,33,24.1905
20,Call Reordering,0.2,GAT,99.52%,12778/12839,61,44.591
20,Call Reordering,0.2,HYBRID-DGCNN,99.81%,12814/12839,25,23.3502
20,Call Reordering,0.2,HYBRID-GAT,99.59%,12786/12839,53,71.648
20,Call Reordering,0.2,LSTM,99.76%,12808/12839,31,42.5619
20,Call Reordering,0.2,SGAN,99.95%,12833/12839,6,11.8692
20,Stalling Padding,0.3,CNN,100.00%,12839/12839,0,10.4323
20,Stalling Padding,0.3,DGCNN,100.00%,12839/12839,0,23.5963
20,Stalling Padding,0.3,GAT,99.63%,12791/12839,48,43.9702
20,Stalling Padding,0.3,HYBRID-DGCNN,100.00%,12839/12839,0,22.9999
20,Stalling Padding,0.3,HYBRID-GAT,93.72%,12033/12839,806,74.4901
20,Stalling Padding,0.3,LSTM,92.51%,11877/12839,962,41.8246
